Название,Артикул,Цена,Бренд,Категория,Описание,Картинки,Ссылка на товар 
Hermes Hermes Equipage EDT 100ml Tester (тестер),Мужские тестеры Hermes Hermes Equipage EDT 100ml Tester (тестер),2028,Hermes,Женская парфюмерия,"Equipage - свежий, специево-древесный аристократический аромат. Начальные ноты встречают нас древесным теплом и свежестью бергамота и ландыша. В сердце - острый цветочный акорд гвоздики, элегантный жасмин и сосна. В базовых нотах: ветивер, пачули и бобы Тонка.  Композицию создал в 1970 году Guy Robert.",https://ik.imagekit.io/q6gbfd9lb/5_72.800x600w.jpg_afc9be4ca047dc5a3fefefd2e5489259.jpg,http://parfume-opt.ru/products/hermes_equipage_edt_100ml_tester_tester
Женская Nina Ricci Chante D Extase,Женская Nina Ricci Chante D Extase,1788,Nina Ricci,Женская парфюмерия,"Chant d'Extase Nina Ricci — это аромат для женщин, он принадлежит к группе цветочные фруктовые. Это новое издание: Chant d'Extase выпущен в 2018 году. Парфюмер: Francis Kurkdjian. Верхние ноты: Малина, Розовый перец, Имбирь и Лимон; средние ноты: Роза, Жасмин, Магнолия и Морские ноты; базовые ноты: Карамель, Серая амбра, Ваниль и Мускус.",https://ik.imagekit.io/q6gbfd9lb/chant_20d_20extase.800x600w.jpg_74db786a9550ef35d6356a580640024c.jpg,http://parfume-opt.ru/products/chante_d_extase_
Женская Kenzo World Intense,Женская Kenzo World Intense,1788,Kenzo,Женская парфюмерия,"Kenzo World Intense Kenzo — это аромат для женщин, он принадлежит к группе цветочные фруктовые сладкие. Это новое издание: Kenzo World Intense выпущен в 2017 году. Kenzo World Intense был создан Francis Kurkdjian и Maïa Lernout. Верхняя нота: Слива; средние ноты: Пион и Жасмин; базовая нота: Ваниль.",https://ik.imagekit.io/q6gbfd9lb/kenzo_20world_20intense.800x600w.jpg_c8807fff25d179f74b40c7c9d9e6aaa9.jpg,http://parfume-opt.ru/products/world_intense
BYREDO Elevator Music LUXE,оригинальная упаковка BYREDO Elevator Music LUXE,2496,BYREDO,Женская парфюмерия,"Выпущенный в 2018 году Elevator Music от марки Byredo классифицируется как унисекс-аромат и принадлежит семействам Древесные и Цветочные. Его автором является парфюмер Бен Горхэм.Композицию составляют следующие ноты и аккорды: Амбретта, Амирис, Бамбук, Древесный аккорд, Фиалка и Жасмин",https://ik.imagekit.io/q6gbfd9lb/126-3004044-100174_M.800x600w.jpg_9cbeb5e4442fd8f3f4dce45bacc12f76.jpg,http://parfume-opt.ru/products/elevator_music_luxe
Женская Jean Paul Gaultier  Scandal LUXE,Женская Jean Paul Gaultier  Scandal LUXE,2868,Jean Paul Gaultier,Женская парфюмерия,"Scandal Jean Paul Gaultier — это аромат для женщин, он принадлежит к группе шипровые цветочные. Это новое издание: Scandal выпущен в 2017 году. Scandal был создан Daphne Bugey, Fabrice Pellegrin и Christophe Raynaud. Верхние ноты: Красный апельсин и Мандарин; средние ноты: Мед, Гардения, Жасмин, Апельсиновый цвет и Персик; базовые ноты: Пачули, Пчелиный воск, Карамель и Лакричник.",https://ik.imagekit.io/q6gbfd9lb/scandal.800x600w.jpg_828768a76f82c836c5a9ec05b108e30e.jpg,http://parfume-opt.ru/products/scandal_luxe
Мужская Paco Rabanne 1 Million Lucky LUXE,Мужская Paco Rabanne 1 Million Lucky LUXE,2616,Paco Rabanne,Женская парфюмерия,"1 Million Lucky Paco Rabanne — это аромат для мужчин, он принадлежит к группе древесные. Это новое издание: 1 Million Lucky выпущен в 2018 году. Верхние ноты: Озон, Слива и Грейпфрут; средние ноты: Лесной орех, Белый кедр, Кашмирское дерево, Жасмин и Мед; базовые ноты: Пачули, Дубовый мох и Ветивер.",https://ik.imagekit.io/q6gbfd9lb/29_39.800x600w.jpg_6b450a022979edfa2e0a9013dea01f5a.jpg,http://parfume-opt.ru/products/1_million_lucky_luxe
Мужская Paco Rabanne 1 Million Lucky,Мужская Paco Rabanne 1 Million Lucky,1788,Paco Rabanne,Женская парфюмерия,"1 Million Lucky Paco Rabanne — это аромат для мужчин, он принадлежит к группе древесные. Это новое издание: 1 Million Lucky выпущен в 2018 году. Верхние ноты: Озон, Слива и Грейпфрут; средние ноты: Лесной орех, Белый кедр, Кашмирское дерево, Жасмин и Мед; базовые ноты: Пачули, Дубовый мох и Ветивер.",https://ik.imagekit.io/q6gbfd9lb/million_20lucky.800x600w.jpg_925ad1b9b88a61bbaa82c0fd8311064b.jpg,http://parfume-opt.ru/products/1_million_lucky
Мужская Giorgio Armani Acqua Di Gio Absolu LUXE,Мужская Giorgio Armani Acqua Di Gio Absolu LUXE,2598,Giorgio Armani,Женская парфюмерия,"Acqua Di Gio Absolu Giorgio Armani — это аромат для мужчин, он принадлежит к группе древесные фужерные. Это новое издание: Acqua Di Gio Absolu выпущен в 2018 году. Парфюмер: Alberto Morillas. Верхние ноты: Фруктовые ноты, Бергамот и Морские ноты; средние ноты: Герань, Лаванда и Розмарин; базовые ноты: Пачули, Древесные ноты, Лабданум и Бобы тонка.",https://ik.imagekit.io/q6gbfd9lb/62_9.800x600w.jpg_bfcbe967e4d6582239986ff827d054d9.jpg,http://parfume-opt.ru/products/acqua_di_gio_absolu_luxe
Мужская Giorgio Armani Acqua Di Gio Absolu 100ml,Мужская Giorgio Armani Acqua Di Gio Absolu 100ml,1620,Giorgio Armani,Женская парфюмерия,"Acqua Di Gio Absolu Giorgio Armani — это аромат для мужчин, он принадлежит к группе древесные фужерные. Это новое издание: Acqua Di Gio Absolu выпущен в 2018 году. Парфюмер: Alberto Morillas. Верхние ноты: Фруктовые ноты, Бергамот и Морские ноты; средние ноты: Герань, Лаванда и Розмарин; базовые ноты: Пачули, Древесные ноты, Лабданум и Бобы тонка.",https://ik.imagekit.io/q6gbfd9lb/23_69.800x600w.jpg_99a063fc88db6d2f423e2a9cc5035842.jpg,http://parfume-opt.ru/products/acqua_di_gio_absolu_100ml
Мужская Giorgio Armani Acqua Di Gio Absolu 125ML,Мужская Giorgio Armani Acqua Di Gio Absolu 125ML,1812,Giorgio Armani,Женская парфюмерия,"Acqua Di Gio Absolu Giorgio Armani — это аромат для мужчин, он принадлежит к группе древесные фужерные. Это новое издание: Acqua Di Gio Absolu выпущен в 2018 году. Парфюмер: Alberto Morillas. Верхние ноты: Фруктовые ноты, Бергамот и Морские ноты; средние ноты: Герань, Лаванда и Розмарин; базовые ноты: Пачули, Древесные ноты, Лабданум и Бобы тонка.",https://ik.imagekit.io/q6gbfd9lb/di_20gio_20absolu.800x600w.jpg_c9efe015cd1438db96601851458e678a.jpg,http://parfume-opt.ru/products/acqua_di_gio_absolu_125ml
Hugo Boss The Scent parfum for her TESTER LUXE,Женские тестеры Hugo Boss The Scent parfum for her TESTER LUXE,2060,Hugo Boss,Женская парфюмерия,"Hugo Boss «The Scent For Her Parfum Edition» (Хуго Босс Зе Сцент Фо Хе Парфюм Эдишн) можно назвать вечерней версией презентованного ранее «The Scent For Her». Новая версия практически сохранила оригинальную пирамиду, но приобрела восточные мотивы и стала более насыщенной и интенсивной, чтобы сделать свою владелицу самой эффектной на любом вечернем мероприятии. Теперь парфюм звучит еще раскованнее, соблазнительнее и чувственнее!Как и в классической версии, верхние ноты композиции Hugo Boss «The Scent For Her Parfum Edition» состоят из сладких оттенков спелого персика с ароматной бархатистой кожурой и хрупкой белой фрезии. А вот в сердце к утонченным акцентам османтуса добавили гипнотические аккорды лабданума, которые задают восточное звучание новому изданию. Уютный шлейф из какао дарит наслаждение и приковывает внимание к владелице аромата, придавая ей особое очарование.",https://ik.imagekit.io/q6gbfd9lb/42_29.800x600w.jpg_6c8ff6caf97c9a3b6eb612a98d7e936a.jpg,http://parfume-opt.ru/products/the_scent_parfum_for_her_tester_luxe
Женская Lacoste Pour Femme Intense Lacoste,Женская Lacoste Pour Femme Intense Lacoste,1788,Lacoste,Женская парфюмерия,"Lacoste Pour Femme Intense Lacoste Fragrances — это аромат для женщин, он принадлежит к группе цветочные древесно-мускусные. Это новое издание: Lacoste Pour Femme Intense выпущен в 2018 году. Парфюмер: Olivier Cresp. Верхняя нота: Карамель; средняя нота: Болгарская роза; базовые ноты: Гималайский кедр, Австралийский сандал и Мускус.",https://ik.imagekit.io/q6gbfd9lb/lasoste_20intense.800x600w.jpg_8c7bed1545968585422ed48082494613.jpg,http://parfume-opt.ru/products/pour_femme_intense_lacoste
Женская Chloe Nomade EDP,Женская Chloe Nomade EDP,1800,Chloe,Женская парфюмерия,"Nomade Chloé — это аромат для женщин, он принадлежит к группе шипровые цветочные. Это новое издание: Nomade выпущен в 2018 году. Парфюмер: Quentin Bisch. Верхние ноты: Слива Мирабель, Бергамот, Лимон и Апельсин; средние ноты: Белая фрезия, Жасмин, Персик и Роза; базовые ноты: Дубовый мох, Древесный янтарь, Пачули, Сандал и Белый мускус.",https://ik.imagekit.io/q6gbfd9lb/nomade.800x600w.jpg_59ec90567e791601cb64c43c7e3652ee.jpg,http://parfume-opt.ru/products/nomade_edp
Женская Yves Saint Laurent Black Opium eau de toilette 2018,Женская Yves Saint Laurent Black Opium eau de toilette 2018,1788,Yves Saint Laurent,Женская парфюмерия,"Black Opium Eau de Toilette (2018) Yves Saint Laurent — это аромат для женщин, он принадлежит к группе восточные гурманские. Это новое издание: Black Opium Eau de Toilette (2018) выпущен в 2018 году. Black Opium Eau de Toilette (2018) был создан Nathalie Lorson, Marie Salamagne, Honorine Blanc и Olivier Cresp. Верхние ноты: Кофе, Лимон, Бергамот и Груша; средние ноты: Апельсиновый цвет и Жасмин самбак; базовые ноты: Белый кедр, Пачули и Мускус.",https://ik.imagekit.io/q6gbfd9lb/black_20opium_20edt.800x600w.jpg_1aa42eeb6abc8884fb23c2ea36687519.jpg,http://parfume-opt.ru/products/black_opium_eau_de_toilette_2018
Женская Kenzo World women,Женская Kenzo World women,1788,Kenzo,Женская парфюмерия,"Kenzo World - первый аромат от новых креативных директоров Кензо, Умберто Леон и Кэрол Лим (Humberto Leon, Carol Lim). Фруктовый цветочный амбровый аромат создал Francis Kurkdjian. Основными нотами стали пион, белые цветы с доминирующим египетским жасмином, который дает эффект ""красных ягод"" в начале аромата. Затем все утопает в сухом амбровом древесном облаке амброксана, который также является ключевым ингридиентом",https://ik.imagekit.io/q6gbfd9lb/kenzo_20world.800x600w.jpg_8baca3774953075a846494453453ab86.jpg,http://parfume-opt.ru/products/world_women
"ТУШЬ, ПОДВОДКА Christian Dior Diorshow 360 ( конус )","ТУШЬ, ПОДВОДКА Christian Dior Diorshow 360 ( конус )",1360,Christian Dior,Женская парфюмерия,,https://ik.imagekit.io/q6gbfd9lb/45_37.800x600w.jpg_ffdec61ba8e6f37d3e82755eea6796ec.jpg,http://parfume-opt.ru/products/diorshow_360s_konus_
Женская Hermes Twilly D'Hermes,Женская Hermes Twilly D'Hermes,1788,Hermes,Женская парфюмерия,"Twilly d’Hermès вдохновлен знаменитыми шелковыми лентами-шарфами твилли и обращен к молодой аудитории, а лейтмотивом новой композиции стали оттенки туберозы в окружении сандала и имбиря.",https://ik.imagekit.io/q6gbfd9lb/twilly.800x600w.jpg_d9cb9cb1f7af348efafea3b0869c5983.jpg,http://parfume-opt.ru/products/twilly_dhermes
Мужская Christian Dior Homme Sport Very Cool Spray,Мужская Christian Dior Homme Sport Very Cool Spray,1800,Christian Dior,Женская парфюмерия,"Dior Homme Sport Very Cool Spray Christian Dior — это аромат для мужчин, он принадлежит к группе древесные фужерные. Это новое издание: Парфюмер: Francois Demachy. Верхние ноты: Грейпфрут, Красный апельсин, Цитрон, Груша, Бергамот, Лаванда и Розмарин; средние ноты: Розовый перец, Мускатный орех, Элеми и Имбирь; базовые ноты: Белый кедр, Таитянский ветивер, Сандал, Древесный янтарь и Ваниль.",https://ik.imagekit.io/q6gbfd9lb/homme_20sport_20very_20cool_20spray.800x600w.jpg_65809adf331c1f946eb108b769c15562.jpg,http://parfume-opt.ru/products/homme_sport_very_cool_spray
Женская Christian Dior Joy by Dior LUXE,Женская Christian Dior Joy by Dior LUXE,2550,Christian Dior,Женская парфюмерия,"Новый женский аромат от Dior – Joy by Dior – выходит в конце августа 2018 года. Это ода красоте и радости жизни. Энергичный и нежный, он задуман как аромат счастья и хорошего настроения. Его невозможно понять, не попробовав. По словам штатного парфюмера дома Dior Франсуа Демаши (Francois Demachy), новинка выражает особое чувство радости: Joy by Dior это свет, запечатлённый в виде аромата. Его композиция имеет множество нюансов и граней, сведённых к единому знаменателю. ""Аромат выражает особое чувство радости: Joy by Dior это свет, запечатлённый в виде аромата. Его композиция напоминает картины художников-пуантилистов, выполненные в особой, богатой на детали манере. Она имеет множество нюансов и граней, которые вместе составляют единое целое. Выход нового аромата от Dior – это всегда событие как для модного дома, так и лично для меня. Уверен, Joy подарит радость и женщинам, и мужчинам,"" – Франсуа Демаши, парфюмер дома Dior. Композиция Joy by Dior построена на гармонии цитрусов и цветов. Здесь Грасская роза, один из фирменных ингредиентов Dior Parfums, соединена с жасмином и сочными цитрусами, которые придают изюминку всему аромату. Тёплая база из сандала и чувственного мускуса с его чистыми пудровыми акцентами дарит нежные объятия и комфорт. Joy by Dior от Christian Dior — совер­шенно иной ориги­нальный аромат, аромат-радость, аромат-нежное прикос­новение, аромат-счастье, аромат-свет, аромат-улыбка… Это декла­рация любви к жизни. Воспоминание о лете, нерасска­занная история, лучик летнего солнца в период осенней хандры и зимнего холода, настоящий подарок каждой женщине. Как будто сам Кристиан Диор вновь присо­еди­нился к нам и сказал: «Соз-дайте мне аромат, вопло­щающий счастье! Во все времена бренд старался дарить жен­щинам счастье. Аромат Joy by Dior явля­ется вопло­щением этого идеала, облекая его в ориги­нальную ольфак­торную форму. Аромат JOY от Dior окуты­вает нежным облаком, пробуждая чувства, не оставляя места сомне­ниям. Его ноты невоз­можно отнести ни к свежим, ни к вос­точным, ни к молоч­ным, ни к цве­точным. Он соче­тает их все. Аромат, ассоци­ирую­щийся лишь с одним словом — JOY (от англ. - радость, счастье, восторг). Сложно оценить этот много­гранный аромат, разделив его на пира­миду нот. Ни одно опи­сание не пере­даст магии компо­зиции. Невоз­можно пере­числить все цветы и ингре­диенты, из которых он состоит. Joy by Dior — это уникальное парфю­мерное творение. Древесно-мускусная цветочная компо­зиция Joy by Dior сразу, почти мгно­венно, дарит чувство радости и лико­вания откры­ваясь пикант­ными и бодря­щими нотами Берга­мота и Манда­рина, уси­ленные Альде­гидными нотами, которые объеди­нились ради воз-душ­ного звуча­ния цветов. Роза в обеих формах: Эссенции и Абсолю, также, как и опья­няющий Жасмин, слива­ется в ""сердце"" аромата Joy by Dior с сочными фрук­товыми аккор­дами. В шлейфе Вас словно мгно­венно окуты­вают мягкие, молоч­ные дре­весные ноты. Теплые и кремо­вые ноты Санда­лового дерева похожи на объятия, оку­нувшись в которые чувст­вуется легкое при­косно­вение Кедра и намек на Пачули. Среди мно­жества вариаций Мускуса был произ­веден тща­тельный отбор нот, чтобы прев­ратить компо­зицию в легкую, неве­сомую пудровую вуаль. Неуло­вимый Мускус встре­чается с древес­ными и цветоч­ными нотами, обога­щает и подчер­кивает их харак­тер. Словно нежное прикос­новение к коже, даря аромату Joy by Dior особый чувст­венный почерк. Компо­зиция Joy by Dior создана известным фран­цузским парфю­мером Франсуа Демаши (Francois Demachy). Минималистичный флакон, похожий на небольшую драгоценность, имеет розовый оттенок. На внутренней стороне колпачка расположилась эмблема Dior, а на внешней – серебряная вязь. Лицом рекламной кампании стала американская актриса Дженнифер Лоуренс. Joy Dior доступен во флаконах объёмом 30, 50 и 90 ml (Eau de Parfum). Также на основе композиции выпущен лосьон для тела.  Верхние ноты: Цитрусы, Бергамот и Мандарин;  средние ноты: Грасская роза и Жасмин;  базовые ноты: Сандал, Белый кедр, Белый мускус и Пачули.",https://ik.imagekit.io/q6gbfd9lb/4_31.800x600w.jpg_a5ea55a7f807a5f31f0b128fce0689ab.jpg,http://parfume-opt.ru/products/joy_by_dior_luxe
Мужская BYREDO Bibliotheque LUXE,Мужская BYREDO Bibliotheque LUXE,2496,BYREDO,Женская парфюмерия,"Стильный и оригинальный, унисекс-аромат от Byredo под названием Bibliotheque никого не сможет оставить равнодушным. Его филигранная и изысканная ароматическая композиция включает сразу несколько ярких составляющих, а именно — цветы, кожа, фрукты. Благодаря такой полифоничности эти духи всегда звучат непредсказуемо, но в любом случае очень интересно и необычно. Bibliotheque один из самых интеллектуальных ароматов бренда Byredo. Он обязательно привлечёт внимание незаурядных и творческих личностей, которые ценят оригинальную нишевую парфюмерию.",https://ik.imagekit.io/q6gbfd9lb/100.800x600w.jpg_50bf71bad623f3c24abbd9caa962c344.jpg,http://parfume-opt.ru/products/bibliotheque_luxe
Женская Lancome Miracle Secret,Женская Lancome Miracle Secret,1788,Lancome,Женская парфюмерия,"Miracle Secret Lancome — это аромат для женщин, он принадлежит к группе цветочные. Это новое издание: Miracle Secret выпущен в 2017 году. Верхние ноты: Бергамот и Груша; средние ноты: Жасмин самбак, Роза и Пион; базовые ноты: Кедр из Вирджинии, Мускус, Амбра и Ваниль.",https://ik.imagekit.io/q6gbfd9lb/lancome_20miracle_20secret.800x600w.jpg_0e3ec3e360a1f97c7c9b9274d4eff508.jpg,http://parfume-opt.ru/products/miracle_secret
Женская Creed Aventus For Her 100ml LUXE,Женская Creed Aventus For Her 100ml LUXE,2700,Creed,Женская парфюмерия,"Aventus for Her Creed — это аромат для женщин, он принадлежит к группе шипровые фруктовые. Это новое издание: Aventus for Her выпущен в 2016 году. Верхние ноты: Пачули, Зеленое яблоко, Бергамот, Лимон, Розовый перец и Фиалка; средние ноты: Сандал, Роза, Стиракс и Мускус; базовые ноты: Перси Черная смородина, Сирень, Иланг-иланг и Амбра.",https://ik.imagekit.io/q6gbfd9lb/74_18.800x600w.jpg_555929cfcf8391d435d76022371780f7.jpg,http://parfume-opt.ru/products/aventus_for_her_100ml_luxe
Женская Chanel Coco Mademoiselle Intense,Женская Chanel Coco Mademoiselle Intense,1800,Chanel,Женская парфюмерия,"Coco Mademoiselle Intense Chanel — это аромат для женщин, он принадлежит к группе восточные древесные. Это новое издание: Coco Mademoiselle Intense выпущен в 2018 году. Парфюмер: Olivier Polge. Верхние ноты: Сицилийский апельсин, Калабрийский бергамот и Лимон; средние ноты: Роза, Жасмин и Фруктовые ноты; базовые ноты: Пачули, Бобы тонка, Мадагаскарская ваниль, Лабданум и Белый мускус.",https://ik.imagekit.io/q6gbfd9lb/Coco_20Mademoiselle_20Intense.800x600w.jpg_215451012e0a4f217be0a2882187eb70.jpg,http://parfume-opt.ru/products/coco_mademoiselle_intense
EX Nihilo  Fleur Narcotique LUXE (оригинальная упаковка) batch fn20100,Селективная (нишевая) парфюмерия EX Nihilo  Fleur Narcotique LUXE (оригинальная упаковка) batch fn20100,2640,EX Nihilo,Женская парфюмерия,"Fleur Narcotique Ex Nihilo — это аромат для мужчин и женщин, он принадлежит к группе цветочные фруктовые. Fleur Narcotique выпущен в 2014 году. Парфюмер: Givaudan. Верхние ноты: Бергамот, Личи и Персик; средние ноты: Жасмин, Пион и Апельсиновый цвет; базовые ноты: Древесные ноты, Мох и Мускус.",https://ik.imagekit.io/q6gbfd9lb/1_8.800x600w.jpg_0a9c86c21cf3fb8f792c828914193681.jpg,http://parfume-opt.ru/products/_fleur_narcotique_luxe_originalnaya_upakovka_batch_fn20100
Мужская Tiziana Terenzi Andromeda ( ориг. упаковка ) LUXE,Мужская Tiziana Terenzi Andromeda ( ориг. упаковка ) LUXE,4320,Tiziana Terenzi,Женская парфюмерия,"Итальянский парфюмерный дом Tiziana Terenzi представил публике новинку лунной серии – Andromeda. Парфюм в бело-золотом флаконе придает очарование каждому вне зависимости от пола. Восточно-цветочная композиция начинает раскрываться необычным сочетанием нот, среди которых можно уловить сено, иланг-иланг и бергамот. Затем аромат Андромеды плавно переходит к нотам сердца, где скрыты дамасская роза, лилия, фиалка и груша. Завершает парфюм шлейф, струящийся аккордами такими, как кашемировое дерево, ваниль, амбра и бобы тонка.",https://ik.imagekit.io/q6gbfd9lb/86_5.800x600w.jpg_44e1c0784d00200747caf290f7ba8a71.jpg,http://parfume-opt.ru/products/andromeda__orig_upakovka__luxe
Giorgio Armani Si Passione Tester LUXE,Женские тестеры Giorgio Armani Si Passione Tester LUXE,2049,Giorgio Armani,Женская парфюмерия,"Sì Passione Giorgio Armani — это аромат для женщин, он принадлежит к группе цветочные фруктовые. Это новое издание: Sì Passione выпущен в 2017 году. Верхние ноты: Розовый перец, Груша, Черная смородина и Грейпфрут; средние ноты: Роза, Жасмин, Гелиотроп и Ананас; базовые ноты: Белый кедр, Ваниль, Древесный янтарь и Пачули.",https://ik.imagekit.io/q6gbfd9lb/138.800x600w.jpg_7bbb3f361dbf7db1e3916d8323e15934.jpg,http://parfume-opt.ru/products/si_passione_tester_luxe
Женская DIPTYQUE Eau Rose 100ml EDT LUXE ( LIMITED ),Женская DIPTYQUE Eau Rose 100ml EDT LUXE ( LIMITED ),2425,DIPTYQUE,Женская парфюмерия,"Цветочно - фруктовая новинка Eau Rose Diptyque раскрывается нотами бергамота, черной смородины и личи. Ноты сердца: жасмин, герань и роза. Ноты базы: мускус, виргинский кедр и белый мед. Помните, что наш интернет-магазин доставляет исключительно оригинальную продукцию от официальных производителей.",https://ik.imagekit.io/q6gbfd9lb/29_51.800x600w.jpg_cd525f79c3f0356ac396a67186a8c571.jpg,http://parfume-opt.ru/products/eau_rose_100ml_edt_luxe__limited_
Versace Dylan Blue pour femme TESTER,Женские тестеры Versace Dylan Blue pour femme TESTER,2220,Versace,Женская парфюмерия,"Versace Pour Femme Dylan Blue Versace — это аромат для женщин, он принадлежит к группе цветочные фруктовые. Это новое издание: Versace Pour Femme Dylan Blue выпущен в 2017 году. Парфюмер: Calice Becker. Верхние ноты: Черная смородина, Яблоко ""Гренни Смит"", Клевер, Незабудка и Шисо; средние ноты: Шиповник, Роза, Жасмин, Персик и Петалия (вещество с запахом пиона); базовые ноты: Стиракс, Светлая древесина, Мускус и Пачули.",https://ik.imagekit.io/q6gbfd9lb/6_28.800x600w.jpg_87bda7ad5dfa145ba5a5f901b5bd6a45.jpg,http://parfume-opt.ru/products/dylan_blue_pour_femme_tester
Женская Versace Dylan Blue pour femme,Женская Versace Dylan Blue pour femme,1788,Versace,Женская парфюмерия,"Versace Pour Femme Dylan Blue Versace — это аромат для женщин, он принадлежит к группе цветочные фруктовые. Это новое издание: Versace Pour Femme Dylan Blue выпущен в 2017 году. Парфюмер: Calice Becker. Верхние ноты: Черная смородина, Яблоко ""Гренни Смит"", Клевер, Незабудка и Шисо; средние ноты: Шиповник, Роза, Жасмин, Персик и Петалия (вещество с запахом пиона); базовые ноты: Стиракс, Светлая древесина, Мускус и Пачули.",https://ik.imagekit.io/q6gbfd9lb/versace_20dylan_20blue.800x600w.jpg_1554ed1221ca050755f86e66f3bbe951.jpg,http://parfume-opt.ru/products/dylan_blue_pour_femme
BYREDO Mojave Ghost LUXE,Селективная (нишевая) парфюмерия BYREDO Mojave Ghost LUXE,2496,BYREDO,Женская парфюмерия,"Mojave Ghost Byredo — это аромат для мужчин и женщин, он принадлежит к группе восточные цветочные. Mojave Ghost выпущен в 2014 году. Верхние ноты: Амбретта и Саподилла; средние ноты: Фиалка, Сандал и Магнолия; базовые ноты: Серая амбра и Белый кедр.",https://ik.imagekit.io/q6gbfd9lb/byredo_20mojave_20ghost.800x600w.jpg_c0c0d0f3b88acdc870e4eccded54374b.jpg,http://parfume-opt.ru/products/mojave_ghost_luxe
BYREDO Mister Marvelous LUXE,Селективная (нишевая) парфюмерия BYREDO Mister Marvelous LUXE,2496,BYREDO,Женская парфюмерия,"Mister Marvelous Byredo — это аромат для мужчин, он принадлежит к группе древесные фужерные. Mister Marvelous выпущен в 2011 году. Верхние ноты: Петитгрейн и Нероли; средние ноты: Лаванда и Бамбук; базовые ноты: Кедр из Вирджинии и Амбра.",https://ik.imagekit.io/q6gbfd9lb/byredo_20myster_20marvelous.800x600w.jpg_d7948b85c4e5838cbc749d92522fdce0.jpg,http://parfume-opt.ru/products/myster_marvelous_present_pack_luxe_
BYREDO Sunday Cologne LUXE,Селективная (нишевая) парфюмерия BYREDO Sunday Cologne LUXE,2496,BYREDO,Женская парфюмерия,"Sunday Cologne Byredo — это аромат для мужчин и женщин, он принадлежит к группе древесные фужерные. Sunday Cologne выпущен в 2011 году. Верхние ноты: Кардамон, Бергамот и Звездчатый анис; средние ноты: Лаванда, Герань и Ладан; базовые ноты: Ветивер, Пачули и Дубовый мох.",https://ik.imagekit.io/q6gbfd9lb/byredo_20sunday_20cologne.800x600w.jpg_612d071ae1f2738a4a34a5f65a7c15ab.jpg,http://parfume-opt.ru/products/sunday_cologne_luxe
Мужская BYREDO Baudelaire LUXE,Мужская BYREDO Baudelaire LUXE,2496,BYREDO,Женская парфюмерия,"Мужской, стильный, «кожаный» аромат Byredo Parfums Baudelaire создан в честь известного легендарного классика французской и мировой литературы, поэта Шарля Бодлера. Парфюм подойдет брутальному, смелому, сильному мужчине, который не страшится экспериментов. Аромат обладает сильным характером, поэтому должен соответствовать своему обладателю и сливаться с ним. Byredo Parfums Baudelaire (Биредо Парфумс. Бодлер) выпущен в 2009 году. Для любителей фантастических ароматов Byredo предлагает вниманию и Byredo Parfums Fantastic Man. Верхние нотки Byredo Parfums Baudelaire составляют сочные ароматы ягод можжевельника, которые интересно сочетаются с черным перцем и тмином. «Сердце» аромата представлено легким гиацинтом и сочным персиком. Строгий папирус, теплая кожа, черная амбра входят в финальные аккорды аромата, лаконично его завершая. Тот факт, что вдохновителем создания аромата Byredo Parfums Baudelaire является конкретный человек и его творчество, не делает этот парфюм сколько либо ограниченным и предназначенным для узкого круга, однако определенные требования к тому, кто будет им пользоваться, все же предъявляет. Byredo Parfums Baudelaire - это аромат исключительно для сильного, не боящегося экспериментов мужчины, который хочет подчеркнуть свой волевой характер, целеустремленность и тягу к победе. В зависимости от ситуации аромат Byredo Parfums Baudelaire может как притягивать других людей, действуя на них почти магическим образом, так и своеобразным образом отпугивать их, заставляя в некотором роде даже бояться обладателями этого аромата. Однако сила и мощь этого брутального аромата вовсе не означают, что его обладатель не может быть романтичным и страстным и покорять сердца женщин скорее даже наоборот. Обладателю Byredo Parfums Baudelaire не чужда тяга ко всему прекрасному, но как у настоящего мужчина она далеко не всегда получает открытое выражение и появляется явно. Сильный, волнующий, немного пугающий и одновременно магически притягательный, страстный и немного замкнутый все это аромат Byredo Parfums Baudelaire, который смело можно отнести к категории элитной мужской парфюмерии, предназначенной для особенных мужчин. духи.рф.  Верхние ноты: тмин,Плоды можжевельника,перец Средние ноты: гиацинт,ладан,кожа Базовые ноты: лист пачули,амбра,папирус",https://ik.imagekit.io/q6gbfd9lb/byredo_20baudelaire_20pp.800x600w.jpg_408b1d72c37ce03a45c786384ade22f6.jpg,http://parfume-opt.ru/products/baudelaire_luxe
BYREDO Encens Chembur LUXE,Селективная (нишевая) парфюмерия BYREDO Encens Chembur LUXE,2496,BYREDO,Женская парфюмерия,"Chembur Byredo — это аромат для мужчин и женщин, он принадлежит к группе восточные пряные. Chembur выпущен в 2008 году. Композиция аромата включает ноты: Бергамот, Амальфитанский лимон, Имбирь, Ладан, Мускатный орех, Французский лабданум, Амбра, Мускус и Элеми.",https://ik.imagekit.io/q6gbfd9lb/byredo_20encens_20chembur.800x600w.jpg_ec2718bd5946a22c70e2a3b74ec9d804.jpg,http://parfume-opt.ru/products/encens_chembur_luxe
